RevDate,RUNKEY,RK,SRK,SLength,Length,FOTF,CAR1,CAR2,CAR3,CAR4,CAR5,CAR6,CAR7,CAR8,CAR9,CAR10,Id
20AUG2022,583/22:47:26-505,368,22877-82050-505-12,10,10,0,377,1854,1707,1803,1811,1689,1588,1873,1521,328,224
20AUG2022,583/23:57:45-505,391,22877-87156-505-11,10,10,0,377,1854,1707,1803,1811,1689,1588,1873,1521,328,225
20AUG2022,585/ 6:38:46-311,8,585/ 6:38:46-311,,10,0,1228,1752,1647,1894,1653,1560,1594,1717,1742,363,226
20AUG2022,585/ 6:53:56-311,429,22877-25260-311-1,10,10,0,1228,1752,1647,1894,1653,1560,1594,1717,1742,363,227
20AUG2022,585/ 8:34:22-311,473,22877-31260-311-2,10,10,0,1228,1752,1647,1894,1653,1560,1594,1717,1742,363,228
20AUG2022,585/10:10:19-311,69,22877-37098-311-1,10,10,0,1228,1752,1647,1894,1653,1560,1594,1717,1742,363,229
20AUG2022,585/11:48:16-311,113,22877-42990-311-2,10,10,0,1228,1752,1647,1894,1653,1560,1594,1717,1742,363,230
20AUG2022,585/13:28:34-311,157,22877-48600-311-1,10,10,0,1228,1752,1647,1894,1653,1560,1594,1717,1742,363,231
20AUG2022,585/15: 3:39-311,204,22877-54750-311-2,10,10,0,1228,1752,1647,1894,1653,1560,1594,1717,1742,363,232
20AUG2022,585/16:42:22-711,28,585/16:42:22-711,,10,,,,,,,,,,,,233
20AUG2022,586/ 6:41:35-107,9,586/ 6:41:35-107,,10,1,3148,4066,4101,4200,4241,3059,4148,4063,4037,3033,234
20AUG2022,586/ 7: 0:48-107,431,22877-25812-107-5,10,10,1,3148,4066,4101,4200,4241,3059,4148,4063,4037,3033,235
20AUG2022,586/ 8:34:17-107,470,22877-31020-107-6,10,10,1,3148,4066,4101,4200,4241,3059,4148,4063,4037,3033,236
20AUG2022,586/10: 4:48-107,64,22877-36612-107-5,10,10,1,3148,4066,4101,4200,4241,3059,4148,4063,4037,3033,237
20AUG2022,586/11:33:13-107,104,22877-41820-107-6,10,10,1,3148,4066,4101,4200,4241,3059,4148,4063,4037,3033,238
20AUG2022,586/13: 4:54-107,148,22877-47472-107-5,10,10,1,3148,4066,4101,4200,4241,3059,4148,4063,4037,3033,239
20AUG2022,587/ 6:47:27-201,421,22877-24486-201-4,8,8,0,1241,1816,1824,1688,1843,1612,1890,349,,,240
20AUG2022,587/ 7: 9:49-201,433,22877-26100-201-3,8,8,0,1241,1816,1824,1688,1843,1612,1890,349,,,241
