Id,RevDate,RunKey,Route,SDispatch,SchedTrain,ActOrigin,ActDest,SchedOrigin,SchedDest,EOLDelay,TotalDelay,DelayCount,DelayCodes,PassDelay,PDelay,Locs,Exits,HPOT,LPOT,UPOT
183,15NOV2022,183,6,12:30,109,34,43,34,43,291,,,,,,,94,1,6,1
184,15NOV2022,184,1,12:30,313,18,48,18,48,244,,,,,,,234,,11,
185,15NOV2022,185,3,12:30,217,43,40,43,40,702,589,2,ND LR,61,5.99,A60 K10,127,64,77,73
186,15NOV2022,186,8,12:33,401,47,40,47,40,106,,,,,,,161,6,17,8
187,15NOV2022,187,5,12:34,121,43,34,43,34,159,,,,,,,165,,14,12
188,15NOV2022,188,4,12:34,205,40,43,40,43,297,,,,,,,75,4,7,4
189,15NOV2022,189,12,12:36,513,34,24,34,24,98,,,,,,,134,2,14,5
190,15NOV2022,190,13,12:39,405,47,48,47,48,229,,,,,,,2,,,
191,15NOV2022,191,14,12:41,403,48,47,48,47,-26,,,,,,,3,,,
192,15NOV2022,192,2,12:42,301,48,18,48,18,674,737,1,LR,126,26.32,K10,275,121,158,151
193,15NOV2022,193,7,12:43,415,40,47,40,47,2,,,,,,,191,,2,
194,15NOV2022,194,11,12:43,503,24,34,24,34,1,,,,,,,121,29,24,15
195,15NOV2022,195,6,12:45,111,34,43,34,43,251,,,,,,,234,3,44,12
196,15NOV2022,196,1,12:45,315,18,48,18,48,413,308,1,CD,138,6.13888888888889,K20,216,64,82,75
197,15NOV2022,197,3,12:45,219,43,40,43,40,314,,1,ND,13,,A60,84,40,41,41
198,15NOV2022,198,8,12:48,403,47,40,47,40,454,523,1,LR,63,9.1875,K10,136,59,65,61
199,15NOV2022,199,5,12:49,123,43,34,43,34,300,,,,,,,95,6,17,9
200,15NOV2022,200,4,12:49,207,40,43,40,43,386,,,,,,,73,1,12,8
201,15NOV2022,201,12,12:51,515,34,24,34,24,125,,,,,,,88,,6,
202,15NOV2022,202,13,12:54,407,47,48,47,48,14,,,,,,,1,,,
203,15NOV2022,203,14,12:56,405,48,47,48,47,-11,,,,,,,4,,1,1
204,15NOV2022,204,2,12:57,303,48,18,48,18,285,,,,,,,236,3,12,9
205,15NOV2022,205,7,12:58,417,40,47,40,47,248,,,,,,,176,17,29,25
206,15NOV2022,206,11,12:58,505,24,34,24,34,174,,,,,,,59,,5,1
207,15NOV2022,207,6,13:00,113,34,43,34,43,310,,,,,,,100,1,14,10
208,15NOV2022,208,1,13:00,317,18,48,18,48,86,,,,,,,295,19,42,24
209,15NOV2022,209,3,13:00,221,43,40,43,40,77,,,,,,,131,,25,8
210,15NOV2022,210,8,13:03,405,47,40,47,40,56,,,,,,,151,7,17,8
211,15NOV2022,211,5,13:04,101,43,34,43,34,44,382,1,AD,0.0261111111111111,,S20,115,,10,1
212,15NOV2022,212,4,13:04,209,40,43,40,43,853,652,1,DH,46,57.2941666666667,K30,106,53,54,49
213,15NOV2022,213,12,13:06,517,34,24,34,24,342,328,1,LR,56,5.50666666666667,A10,127,31,46,39
214,15NOV2022,214,13,13:09,409,47,48,47,48,146,,,,,,,2,,,
215,15NOV2022,215,14,13:11,407,48,47,48,47,13,,,,,,,7,,,
216,15NOV2022,216,2,13:12,305,48,18,48,18,94,,,,,,,351,,12,8
217,15NOV2022,217,7,13:13,419,,,40,47,,,1,HL,,,R60,,,,
218,15NOV2022,218,11,13:13,507,24,34,24,34,201,,,,,,,64,3,6,5
219,15NOV2022,219,6,13:15,115,34,43,34,43,311,,,,,,,86,2,15,11
220,15NOV2022,220,1,13:15,319,18,48,18,48,153,,,,,,,195,,6,1
221,15NOV2022,221,3,13:15,223,43,40,43,40,75,,,,,,,99,,4,3
222,15NOV2022,222,8,13:18,407,47,40,47,40,21,,,,,,,160,3,14,3
223,15NOV2022,223,5,13:19,103,43,34,43,34,96,,,,,,,170,,5,1
224,15NOV2022,224,4,13:19,211,40,43,40,43,534,347,1,AD,0.0416666666666667,,S40,98,44,34,31
225,15NOV2022,225,12,13:21,519,34,24,34,24,118,,,,,,,113,1,12,12
226,15NOV2022,226,13,13:24,411,47,48,47,48,42,,,,,,,3,,,
227,15NOV2022,227,14,13:26,409,48,47,48,47,24,,,,,,,6,,,
228,15NOV2022,228,2,13:27,307,48,18,48,18,631,655,2,LD AD,93.085,8.99,Y10 C88,455,89,102,85
229,15NOV2022,229,7,13:28,421,40,47,40,47,-7,,,,,,,262,40,37,28
230,15NOV2022,230,11,13:28,509,24,34,24,34,84,,,,,,,108,,3,
231,15NOV2022,231,6,13:30,117,34,43,34,43,290,,,,,,,155,,7,3
232,15NOV2022,232,1,13:30,321,18,48,18,48,284,,,,,,,267,28,47,38
233,15NOV2022,233,3,13:30,201,43,40,43,40,327,,,,,,,192,102,100,92
234,15NOV2022,234,8,13:33,409,47,40,47,40,14,,,,,,,204,6,37,23
235,15NOV2022,235,4,13:34,213,40,43,40,43,366,,,,,,,84,3,17,9
236,15NOV2022,236,5,13:34,105,,,43,34,,,1,HL,,,S50,,,,
237,15NOV2022,237,12,13:36,501,34,24,34,24,140,,,,,,,128,1,6,3
238,15NOV2022,238,13,13:39,413,47,48,47,48,158,,,,,,,2,,,
239,15NOV2022,239,14,13:41,411,48,47,48,47,54,,,,,,,2,,1,1
240,15NOV2022,240,2,13:42,309,48,18,48,18,332,,,,,,,314,136,139,128
241,15NOV2022,241,7,13:43,423,40,47,40,47,11,,,,,,,206,,8,5
242,15NOV2022,242,11,13:43,511,24,34,24,34,151,,,,,,,72,,1,
243,15NOV2022,243,6,13:45,119,34,43,34,43,620,666,1,LA,6,1.11,M90,172,42,35,28
244,15NOV2022,244,1,13:45,323,18,48,18,48,216,401,1,DH,44,57.2941666666667,C30,323,11,50,41
245,15NOV2022,245,3,13:45,203,43,40,43,40,578,451,1,LA,20,2.50555555555556,S50,119,27,41,40
246,15NOV2022,246,8,13:48,411,47,40,47,40,99,,,,,,,248,3,16,2
247,15NOV2022,247,5,13:49,107,43,34,43,34,257,,,,,,,148,46,50,44
248,15NOV2022,248,4,13:49,215,40,43,40,43,177,,,,,,,114,12,22,16
249,15NOV2022,249,12,13:51,503,34,24,34,24,90,,,,,,,192,44,44,38
250,15NOV2022,250,13,13:54,415,47,48,47,48,21,,,,,,,3,,,
251,15NOV2022,251,14,13:56,413,48,47,48,47,-13,,,,,,,6,,,
252,15NOV2022,252,2,13:57,311,48,18,48,18,39,,,,,,,396,4,6,9
