Id,RevDate,RunKey,PrevRunKey,PrevTrain,SchedTrain,ActTrain,Route,SchedOrigin,SchedDest,ActOrigin,ActDest,StartTime,EndTime,StartLoc,EndLoc,DelaySec,DelayCode,EOLDelay,PassDelay,NumPassDelayed,DelayGroup
68,15NOV2022,143,,,419,,14,48,47,,,42084,42084,48,48,,11,,,,
69,15NOV2022,150,,,419,,8,47,40,,,42516,42516,47,47,,11,,,,
70,15NOV2022,128,853,219,219,219,4,40,43,40,43,42522,42522,19,19,,8,297,,53,
71,15NOV2022,125,856,207,207,207,3,43,40,43,40,41941,42577,8,7,342,1,202,1.6625,19,
72,15NOV2022,146,93,517,515,515,11,24,34,24,34,42809,42809,23,23,357,2,315,57.2941666666667,27,
73,15NOV2022,127,850,111,111,111,5,43,34,43,34,43552,43552,5,5,385,3,426,3.71805555555556,69,
74,15NOV2022,173,104,215,215,215,3,43,40,43,40,44274,45598,43,9,334,6,236,,0.0147222222222222,
75,15NOV2022,175,99,119,119,119,5,43,34,43,34,46584,46584,6,6,,8,814,,31,
76,15NOV2022,156,76,321,321,321,2,48,18,48,18,47024,47024,13,13,,8,187,,58,
77,15NOV2022,185,116,217,217,217,3,43,40,43,40,47266,47266,6,6,,8,702,,25,14
78,15NOV2022,171,,,107,107,6,34,43,34,43,47193,47193,6,6,,8,405,,27,14
79,15NOV2022,217,,,419,,7,40,47,,,47604,47604,40,40,,11,,,,
80,15NOV2022,211,135,101,101,101,5,43,34,43,34,47377,47954,42,41,382,6,44,,0.0241666666666667,
81,15NOV2022,197,128,219,219,219,3,43,40,43,40,48230,48230,6,6,,8,314,,13,
82,15NOV2022,228,148,307,307,307,2,48,18,48,18,48792,48792,48,48,348,4,631,8.99,93,16
83,15NOV2022,160,,,309,309,1,18,48,18,48,48311,48970,46,48,389,1,394,2.70138888888889,25,16
84,15NOV2022,236,,,105,,5,43,34,,,48864,48864,43,43,,11,,,,
85,15NOV2022,196,120,315,315,315,1,18,48,18,48,49007,49007,20,20,308,3,413,6.13888888888889,138,
86,15NOV2022,212,137,209,209,209,4,40,43,40,43,49014,49014,21,21,652,2,853,57.2941666666667,46,
87,15NOV2022,213,158,517,517,517,12,34,24,34,24,48745,49427,25,1,328,1,342,5.50666666666667,56,15
88,15NOV2022,198,191,403,403,403,8,47,40,47,40,48503,49248,25,19,523,1,454,9.1875,63,15
89,15NOV2022,185,116,217,217,217,3,43,40,43,40,48340,49115,1,19,589,1,702,5.99,36,15
90,15NOV2022,192,112,301,301,301,2,48,18,48,18,48100,49071,25,19,737,1,674,26.32,126,15
91,15NOV2022,176,101,203,203,203,4,40,43,40,43,48378,49101,9,41,327,1,595,1.00222222222222,11,
92,15NOV2022,245,176,203,203,203,3,43,40,43,40,50005,50005,43,43,451,5,578,2.50555555555556,20,
