Id,RevDate,RunKey,Route,SDispatch,SchedTrain,ActOrigin,ActDest,SchedOrigin,SchedDest,EOLDelay,TotalDelay,DelayCount,DelayCodes,PassDelay,PDelay,Locs,Exits,HPOT,LPOT,UPOT
191,13NOV2022,191,11,15:37,505,L30,M90,24,34,2,,,"",,,"",195,,,
192,13NOV2022,192,8,15:40,403,W40,R60,47,40,405,426,1,DH,204,24.2533333333333,M20,410,240,287,279
193,13NOV2022,193,2,15:41,323,C60,C88,15,18,-16,,,"",,,"",4,,,
194,13NOV2022,194,13,15:44,405,W40,Y10,47,48,-7,,,"",,,"",5,,1,
195,13NOV2022,195,12,15:44,501,M90,L30,34,24,451,393,1,AD,0.104166666666667,,A50 L10 L20 L30,164,1,43,32
196,13NOV2022,196,3,15:45,211,S50,R60,43,40,376,363,1,LR,36,3.6,A60,212,141,104,93
197,13NOV2022,197,1,15:47,309,C50,Y10,14,48,189,,,"",,,"",333,4,14,5
198,13NOV2022,198,4,15:49,205,R60,S50,40,43,295,,,"",,,"",179,43,50,45
199,13NOV2022,199,2,15:57,303,Y10,C50,48,14,147,,,"",,,"",447,3,12,5
200,13NOV2022,200,1,16:00,323,C88,C60,18,15,32,,,"",,,"",3,,,
201,13NOV2022,201,5,16:02,109,S50,M90,43,34,273,,,"",,,"",180,,27,27
202,13NOV2022,202,6,16:02,103,M90,S50,34,43,141,,,"",,,"",216,1,17,2
203,13NOV2022,203,7,16:02,413,R60,W40,40,47,68,,,"",,,"",298,,6,1
204,13NOV2022,204,14,16:03,405,Y10,W40,48,47,18,,,"",,,"",8,,,
205,13NOV2022,205,11,16:07,507,L30,M90,24,34,-2,,,"",,,"",247,,5,
206,13NOV2022,206,8,16:10,405,W40,R60,47,40,99,,,"",,,"",333,19,15,12
207,13NOV2022,207,2,16:11,321,C60,C88,15,18,-1,,,"",,,"",6,,1,
208,13NOV2022,208,13,16:14,407,W40,Y10,47,48,-8,,,"",,,"",,,,
209,13NOV2022,209,12,16:14,503,M90,L30,34,24,203,,,"",,,"",196,1,9,1
210,13NOV2022,210,3,16:15,201,S50,R60,43,40,584,415,1,AD,0.0208333333333333,,A70 A60,247,105,120,122
211,13NOV2022,211,1,16:17,311,C50,Y10,14,48,6,,,"",,,"",263,7,15,3
212,13NOV2022,212,4,16:19,207,R60,S50,40,43,22,,,"",,,"",180,,13,5
213,13NOV2022,213,2,16:27,305,Y10,C50,48,14,140,,,"",,,"",400,11,17,7
214,13NOV2022,214,1,16:30,321,C88,C60,18,15,14,,,"",,,"",1,,,
215,13NOV2022,215,5,16:32,111,S50,M90,43,34,57,,,"",,,"",190,2,3,
216,13NOV2022,216,6,16:32,105,M90,S50,34,43,14,,,"",,,"",225,,11,2
217,13NOV2022,217,7,16:32,401,R60,W40,40,47,281,,,"",,,"",404,1,9,2
218,13NOV2022,218,14,16:33,407,Y10,W40,48,47,13,,,"",,,"",31,,1,1
219,13NOV2022,219,11,16:37,509,L30,M90,24,34,3,,,"",,,"",189,,,
220,13NOV2022,220,8,16:40,407,W40,R60,47,40,53,,1,ND,77,,R20,318,19,12,9
221,13NOV2022,221,2,16:41,323,C60,C88,15,18,-47,,,"",,,"",8,,1,
222,13NOV2022,222,13,16:44,411,W40,Y10,47,48,125,,,"",,,"",5,,,
223,13NOV2022,223,12,16:44,505,M90,L30,34,24,93,,,"",,,"",173,,6,
224,13NOV2022,224,3,16:45,203,S50,R60,43,40,103,,,"",,,"",209,1,11,6
225,13NOV2022,225,1,16:47,301,C50,Y10,14,48,217,,,"",,,"",298,5,11,10
226,13NOV2022,226,4,16:49,209,R60,S50,40,43,-6,,,"",,,"",152,,12,3
227,13NOV2022,227,2,16:57,307,Y10,C50,48,14,121,,,"",,,"",359,1,7,2
228,13NOV2022,228,1,17:00,323,C88,C60,18,15,12,,,"",,,"",2,,,
229,13NOV2022,229,5,17:02,101,S50,M90,43,34,43,,,"",,,"",205,1,5,1
230,13NOV2022,230,6,17:02,107,M90,S50,34,43,11,,,"",,,"",288,,6,
231,13NOV2022,231,7,17:02,403,R60,W40,40,47,231,,,"",,,"",235,,10,4
232,13NOV2022,232,14,17:03,411,Y10,W40,48,47,-11,,,"",,,"",7,,,
233,13NOV2022,233,11,17:07,501,L30,M90,24,34,1,,,"",,,"",219,,7,
234,13NOV2022,234,8,17:10,411,W40,R60,47,40,381,394,1,AD,0.0355555555555556,,R40 R50,340,27,56,48
235,13NOV2022,235,2,17:11,321,C60,C88,15,18,1,,,"",,,"",,,,
236,13NOV2022,236,13,17:14,413,W40,Y10,47,48,46,,,"",,,"",,,,
237,13NOV2022,237,12,17:14,507,M90,L30,34,24,81,,,"",,,"",182,2,7,
238,13NOV2022,238,3,17:15,205,S50,R60,43,40,1187,1028,1,LD,24,6.85333333333333,S50,138,64,83,80
239,13NOV2022,239,1,17:20,303,C40,Y10,14,48,213,,1,CL,17,,C40,275,2,13,3
240,13NOV2022,240,,,,,,,,,,,,,,,,,,
241,13NOV2022,241,4,17:19,211,R60,S50,40,43,24,,,"",,,"",180,1,16,1
242,13NOV2022,242,2,17:27,309,Y10,C50,48,14,1151,721,1,LD,71,14.2197222222222,Y10,475,246,249,239
243,13NOV2022,243,1,17:30,321,C88,C60,18,15,-15,,,"",,,"",5,,,
244,13NOV2022,244,6,17:32,109,M90,S50,34,43,18,,,"",,,"",219,,6,
245,13NOV2022,245,5,17:32,103,S50,M90,43,34,379,350,1,LD,28,2.72222222222222,S50,105,26,28,27
246,13NOV2022,246,7,17:32,405,R60,W40,40,47,285,,,"",,,"",216,,11,
247,13NOV2022,247,14,17:33,413,Y10,W40,48,47,-59,,,"",,,"",18,,5,3
248,13NOV2022,248,11,17:37,503,L30,M90,24,34,65,,,"",,,"",226,,6,
249,13NOV2022,249,8,17:40,413,W40,R60,47,40,118,,,"",,,"",351,21,41,37
250,13NOV2022,250,2,17:41,323,C60,C88,15,18,-20,,,"",,,"",6,,,
251,13NOV2022,251,13,17:44,401,W40,Y10,47,48,189,,,"",,,"",4,,,
252,13NOV2022,252,12,17:44,509,M90,L30,34,24,83,,,"",,,"",253,,18,2
