Id,RevDate,RUNKEY,RK,SRK,SLength,Length,FOTF,CAR1,CAR2,CAR3,CAR4,CAR5,CAR6,CAR7,CAR8,CAR9,CAR10
402,13NOV2022,469/19:45:29-411,301,22962-71046-411-13,10,10,0,1275,1634,1701,1813,1510,1532,1678,1612,1637,1253
403,13NOV2022,469/19:50:45-411,307,22962-71940-411-8,10,10,,,,,,,,,,,
404,13NOV2022,471/18:36: 7-323,278,22962-67260-323-2,10,10,,,,,,,,,,,
405,13NOV2022,471/18:53:24-323,285,22962-68442-323-1,10,10,,,,,,,,,,,
406,13NOV2022,473/18:50:37-205,283,22962-67764-205-4,8,8,0,311,1528,1749,1837,1508,1654,1527,1255,,
407,13NOV2022,473/20:12:33-205,313,22962-73050-205-3,8,8,0,311,1528,1749,1837,1508,1654,1527,1255,,
408,13NOV2022,474/18:58: 4-413,286,22962-68562-413-7,10,10,,,,,,,,,,,
409,13NOV2022,474/20:14: 8-413,311,22962-72864-413-13,10,10,1,3139,4112,4165,4015,3011,,,,,
410,13NOV2022,475/19: 6:31-200,21,475/19: 6:31-200,,10,1,3151,4106,4192,4110,3060,3112,4196,4197,4103,3052
411,13NOV2022,475/21: 3:53-200,331,22962-76650-209-3,8,10,1,3151,4106,4192,4110,3060,3112,4196,4197,4103,3052
412,13NOV2022,476/19: 4:60-321,289,22962-69060-321-2,10,10,,,,,,,,,,,
413,13NOV2022,476/19:22:60-321,297,22962-70242-321-1,10,10,,,,,,,,,,,
414,13NOV2022,479/19:14:59-207,293,22962-69564-207-4,8,8,0,1210,1804,1580,1718,1565,1811,1595,1206,,
415,13NOV2022,479/20:44:12-207,322,22962-74850-207-3,8,8,0,1210,1804,1580,1718,1565,1811,1595,1206,,
416,13NOV2022,483/19:38: 6-323,300,22962-70824-323-2,10,10,,,,,,,,,,,
417,13NOV2022,483/19:53:12-323,309,22962-72000-323-1,10,10,,,,,,,,,,,
418,13NOV2022,486/20: 4:49-321,310,22962-72624-321-2,10,10,,,,,,,,,,,
419,13NOV2022,486/20:22:56-321,317,22962-73800-321-1,10,10,,,,,,,,,,,
